I0925 19:52:35.529751    3374 serve.go:43] cloudcode_cli (Sep 14 2025 18:02:58 -0700, cl:807024968 baseline:807008616)
I0925 19:52:35.529809    3374 serve.go:44] Command line: ["/home/suyashsaxena015/.cache/cloud-code/cloudcode_cli/cloudcode_cli/9d991cee/cloudcode_cli" "duet" "-trace" "-logtostderr"]
I0925 19:52:35.529868    3374 server.go:395] tracing on
I0925 19:52:35.530725    3374 conn_opt.go:55] jsonrpc2: --> request #0: initialize: {"processId":1624,"clientInfo":{"name":"Code OSS for Cloud Shell","version":"1.101.2-cde"},"locale":"en","rootPath":"/home/suyashsaxena015","rootUri":"file:///home/suyashsaxena015","capabilities":{"workspace":{"applyEdit":true,"workspaceEdit":{"documentChanges":true,"resourceOperations":["create","rename","delete"],"failureHandling":"textOnlyTransactional","normalizesLineEndings":true,"changeAnnotationSupport":{"groupsOnLabel":true}},"configuration":true,"didChangeWatchedFiles":{"dynamicRegistration":true,"relativePatternSupport":true},"symbol":{"dynamicRegistration":true,"symbolKind":{"valueSet":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]},"tagSupport":{"valueSet":[1]},"resolveSupport":{"properties":["location.range"]}},"codeLens":{"refreshSupport":true},"executeCommand":{"dynamicRegistration":true},"didChangeConfiguration":{"dynamicRegistration":true},"workspaceFolders":true,"foldingRange":{"refreshSupport":true},"semanticTokens":{"refreshSupport":true},"fileOperations":{"dynamicRegistration":true,"didCreate":true,"didRename":true,"didDelete":true,"willCreate":true,"willRename":true,"willDelete":true},"inlineValue":{"refreshSupport":true},"inlayHint":{"refreshSupport":true},"diagnostics":{"refreshSupport":true}},"textDocument":{"publishDiagnostics":{"relatedInformation":true,"versionSupport":false,"tagSupport":{"valueSet":[1,2]},"codeDescriptionSupport":true,"dataSupport":true},"synchronization":{"dynamicRegistration":true,"willSave":true,"willSaveWaitUntil":true,"didSave":true},"completion":{"dynamicRegistration":true,"contextSupport":true,"completionItem":{"snippetSupport":true,"commitCharactersSupport":true,"documentationFormat":["markdown","plaintext"],"deprecatedSupport":true,"preselectSupport":true,"tagSupport":{"valueSet":[1]},"insertReplaceSupport":true,"resolveSupport":{"properties":["documentation","detail","additionalTextEdits"]},"insertTextModeSupport":{"valueSet":[1,2]},"labelDetailsSupport":true},"insertTextMode":2,"completionItemKind":{"valueSet":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]},"completionList":{"itemDefaults":["commitCharacters","editRange","insertTextFormat","insertTextMode","data"]}},"hover":{"dynamicRegistration":true,"contentFormat":["markdown","plaintext"]},"signatureHelp":{"dynamicRegistration":true,"signatureInformation":{"documentationFormat":["markdown","plaintext"],"parameterInformation":{"labelOffsetSupport":true},"activeParameterSupport":true},"contextSupport":true},"definition":{"dynamicRegistration":true,"linkSupport":true},"references":{"dynamicRegistration":true},"documentHighlight":{"dynamicRegistration":true},"documentSymbol":{"dynamicRegistration":true,"symbolKind":{"valueSet":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]},"hierarchicalDocumentSymbolSupport":true,"tagSupport":{"valueSet":[1]},"labelSupport":true},"codeAction":{"dynamicRegistration":true,"isPreferredSupport":true,"disabledSupport":true,"dataSupport":true,"resolveSupport":{"properties":["edit"]},"codeActionLiteralSupport":{"codeActionKind":{"valueSet":["","quickfix","refactor","refactor.extract","refactor.inline","refactor.rewrite","source","source.organizeImports"]}},"honorsChangeAnnotations":true},"codeLens":{"dynamicRegistration":true},"formatting":{"dynamicRegistration":true},"rangeFormatting":{"dynamicRegistration":true,"rangesSupport":true},"onTypeFormatting":{"dynamicRegistration":true},"rename":{"dynamicRegistration":true,"prepareSupport":true,"prepareSupportDefaultBehavior":1,"honorsChangeAnnotations":true},"documentLink":{"dynamicRegistration":true,"tooltipSupport":true},"typeDefinition":{"dynamicRegistration":true,"linkSupport":true},"implementation":{"dynamicRegistration":true,"linkSupport":true},"colorProvider":{"dynamicRegistration":true},"foldingRange":{"dynamicRegistration":true,"rangeLimit":5000,"lineFoldingOnly":true,"foldingRangeKind":{"valueSet":["comment","imports","region"]},"foldingRange":{"collapsedText":false}},"declaration":{"dynamicRegistration":true,"linkSupport":true},"selectionRange":{"dynamicRegistration":true},"callHierarchy":{"dynamicRegistration":true},"semanticTokens":{"dynamicRegistration":true,"tokenTypes":["namespace","type","class","enum","interface","struct","typeParameter","parameter","variable","property","enumMember","event","function","method","macro","keyword","modifier","comment","string","number","regexp","operator","decorator"],"tokenModifiers":["declaration","definition","readonly","static","deprecated","abstract","async","modification","documentation","defaultLibrary"],"formats":["relative"],"requests":{"range":true,"full":{"delta":true}},"multilineTokenSupport":false,"overlappingTokenSupport":false,"serverCancelSupport":true,"augmentsSyntaxTokens":true},"linkedEditingRange":{"dynamicRegistration":true},"typeHierarchy":{"dynamicRegistration":true},"inlineValue":{"dynamicRegistration":true},"inlayHint":{"dynamicRegistration":true,"resolveSupport":{"properties":["tooltip","textEdits","label.tooltip","label.location","label.command"]}},"diagnostic":{"dynamicRegistration":true,"relatedDocumentSupport":false}},"window":{"showMessage":{"messageActionItem":{"additionalPropertiesSupport":true}},"showDocument":{"support":true},"workDoneProgress":true},"general":{"staleRequestSupport":{"cancel":true,"retryOnContentModified":["textDocument/semanticTokens/full","textDocument/semanticTokens/range","textDocument/semanticTokens/full/delta"]},"regularExpressions":{"engine":"ECMAScript","version":"ES2020"},"markdown":{"parser":"marked","version":"1.1.0"},"positionEncodings":["utf-16"]},"notebookDocument":{"synchronization":{"dynamicRegistration":true,"executionSummarySupport":true}}},"initializationOptions":{"byoidContext":false,"ideSessionIndex":"20250925_5","lsSessionIndex":0,"ideType":"CLOUD_SHELL","ideVersion":"1.101.2-cde","platform":"LINUX_AMD64","pluginVersion":"2.50.0","updateChannel":"","pluginType":"CLOUD_CODE","ideName":"Code OSS for Cloud Shell"},"trace":"off","workspaceFolders":[{"uri":"file:///home/suyashsaxena015","name":"suyashsaxena015"}]}
I0925 19:52:35.532967    3374 life_cycle.go:203] Initializing. Architecture: "amd64", Operating system: "linux"
I0925 19:52:35.533647    3374 conn_opt.go:96] jsonrpc2: <-- result #0: initialize: {"capabilities":{"textDocumentSync":{"openClose":true,"change":2,"save":{"includeText":true}},"completionProvider":{},"hoverProvider":true,"signatureHelpProvider":{},"codeActionProvider":{"codeActionKinds":["quickfix"],"resolveProvider":true},"documentLinkProvider":{},"executeCommandProvider":{"commands":["_cloudcode.duetAI.ls.completionAccepted","_cloudcode.duetAI.ls.completionRejected","_cloudcode.duetAI.ls.cachedDocs","_cloudcode.duetAI.ls.updateIntellisenseCache","_cloudcode.duetAI.ls.overwriteLastEdit","_cloudcode.duetAI.ls.show"]},"workspace":{"workspaceFolders":{},"fileOperations":{"didRename":{"filters":[{"scheme":"file","pattern":{"glob":"**","matches":"file"}}]},"didDelete":{"filters":[{"scheme":"file","pattern":{"glob":"**","matches":"file"}}]}}}},"serverInfo":{"name":"Gemini","version":"2.50.0"}}
I0925 19:52:35.597435    3374 conn_opt.go:53] jsonrpc2: --> notif: initialized: {}
I0925 19:52:35.597678    3374 conn_opt.go:82] jsonrpc2: <-- request #0: client/registerCapability: {"registrations":[{"id":"workspace/didChangeConfiguration","method":"workspace/didChangeConfiguration"}]}
I0925 19:52:35.671068    3374 conn_opt.go:53] jsonrpc2: --> notif: agent/didRestartAgent: {"agentAddress":"http://localhost:35935"}
I0925 19:52:35.672604    3374 conn_opt.go:53] jsonrpc2: --> notif: textDocument/didOpen: {"textDocument":{"uri":"file:///home/suyashsaxena015/mcp-on-cloudrun/server.py","languageId":"python","version":1,"text":"import asyncio\nimport logging\nimport os\nfrom typing import List, Dict, Any\n\nfrom fastmcp import FastMCP\n\nlogger = logging.getLogger(__name__)\nlogging.basicConfig(format=\"[%(levelname)s]: %(message)s\", level=logging.INFO)\n\nmcp = FastMCP(\"Zoo Animal MCP Server 🦁🐧🐻\")\n\n# Dictionary of animals at the zoo\nZOO_ANIMALS = [\n    {\n        \"species\": \"lion\",\n        \"name\": \"Leo\",\n        \"age\": 7,\n        \"enclosure\": \"The Big Cat Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"lion\",\n        \"name\": \"Nala\",\n        \"age\": 6,\n        \"enclosure\": \"The Big Cat Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"lion\",\n        \"name\": \"Simba\",\n        \"age\": 3,\n        \"enclosure\": \"The Big Cat Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"lion\",\n        \"name\": \"King\",\n        \"age\": 8,\n        \"enclosure\": \"The Big Cat Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"penguin\",\n        \"name\": \"Waddles\",\n        \"age\": 2,\n        \"enclosure\": \"The Arctic Exhibit\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"penguin\",\n        \"name\": \"Pip\",\n        \"age\": 4,\n        \"enclosure\": \"The Arctic Exhibit\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"penguin\",\n        \"name\": \"Skipper\",\n        \"age\": 5,\n        \"enclosure\": \"The Arctic Exhibit\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"penguin\",\n        \"name\": \"Chilly\",\n        \"age\": 3,\n        \"enclosure\": \"The Arctic Exhibit\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"penguin\",\n        \"name\": \"Pingu\",\n        \"age\": 6,\n        \"enclosure\": \"The Arctic Exhibit\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"penguin\",\n        \"name\": \"Noot\",\n        \"age\": 1,\n        \"enclosure\": \"The Arctic Exhibit\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"elephant\",\n        \"name\": \"Ellie\",\n        \"age\": 15,\n        \"enclosure\": \"The Pachyderm Sanctuary\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"elephant\",\n        \"name\": \"Peanut\",\n        \"age\": 12,\n        \"enclosure\": \"The Pachyderm Sanctuary\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"elephant\",\n        \"name\": \"Dumbo\",\n        \"age\": 5,\n        \"enclosure\": \"The Pachyderm Sanctuary\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"elephant\",\n        \"name\": \"Trunkers\",\n        \"age\": 10,\n        \"enclosure\": \"The Pachyderm Sanctuary\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"bear\",\n        \"name\": \"Smokey\",\n        \"age\": 10,\n        \"enclosure\": \"The Grizzly Gulch\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"bear\",\n        \"name\": \"Grizzly\",\n        \"age\": 8,\n        \"enclosure\": \"The Grizzly Gulch\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"bear\",\n        \"name\": \"Barnaby\",\n        \"age\": 6,\n        \"enclosure\": \"The Grizzly Gulch\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"bear\",\n        \"name\": \"Bruin\",\n        \"age\": 12,\n        \"enclosure\": \"The Grizzly Gulch\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"giraffe\",\n        \"name\": \"Gerald\",\n        \"age\": 4,\n        \"enclosure\": \"The Tall Grass Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"giraffe\",\n        \"name\": \"Longneck\",\n        \"age\": 5,\n        \"enclosure\": \"The Tall Grass Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"giraffe\",\n        \"name\": \"Patches\",\n        \"age\": 3,\n        \"enclosure\": \"The Tall Grass Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"giraffe\",\n        \"name\": \"Stretch\",\n        \"age\": 6,\n        \"enclosure\": \"The Tall Grass Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"antelope\",\n        \"name\": \"Speedy\",\n        \"age\": 2,\n        \"enclosure\": \"The Tall Grass Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"antelope\",\n        \"name\": \"Dash\",\n        \"age\": 3,\n        \"enclosure\": \"The Tall Grass Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"antelope\",\n        \"name\": \"Gazelle\",\n        \"age\": 4,\n        \"enclosure\": \"The Tall Grass Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"antelope\",\n        \"name\": \"Swift\",\n        \"age\": 5,\n        \"enclosure\": \"The Tall Grass Plains\",\n        \"trail\": \"Savannah Heights\"\n    },\n    {\n        \"species\": \"polar bear\",\n        \"name\": \"Snowflake\",\n        \"age\": 7,\n        \"enclosure\": \"The Arctic Exhibit\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"polar bear\",\n        \"name\": \"Blizzard\",\n        \"age\": 5,\n        \"enclosure\": \"The Arctic Exhibit\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"polar bear\",\n        \"name\": \"Iceberg\",\n        \"age\": 9,\n        \"enclosure\": \"The Arctic Exhibit\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"walrus\",\n        \"name\": \"Wally\",\n        \"age\": 10,\n        \"enclosure\": \"The Walrus Cove\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"walrus\",\n        \"name\": \"Tusker\",\n        \"age\": 12,\n        \"enclosure\": \"The Walrus Cove\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"walrus\",\n        \"name\": \"Moby\",\n        \"age\": 8,\n        \"enclosure\": \"The Walrus Cove\",\n        \"trail\": \"Polar Path\"\n    },\n    {\n        \"species\": \"walrus\",\n        \"name\": \"Flippers\",\n        \"age\": 9,\n        \"enclosure\": \"The Walrus Cove\",\n        \"trail\": \"Polar Path\"\n    }\n]\n\n@mcp.tool()\ndef get_animals_by_species(species: str) -\u003e List[Dict[str, Any]]:\n    \"\"\"\n    Retrieves all animals of a specific species from the zoo.\n    Can also be used to collect the base data for aggregate queries\n    of animals of a specific species - like counting the number of penguins\n    or finding the oldest lion.\n\n    Args:\n        species: The species of the animal (e.g., 'lion', 'penguin').\n\n    Returns:\n        A list of dictionaries, where each dictionary represents an animal\n        and contains details like name, age, enclosure, and trail.\n    \"\"\"\n    logger.info(f\"\u003e\u003e\u003e 🛠️ Tool: 'get_animals_by_species' called for '{species}'\")\n    return [animal for animal in ZOO_ANIMALS if animal[\"species\"].lower() == species.lower()]\n\n@mcp.tool()\ndef get_animal_details(name: str) -\u003e Dict[str, Any]:\n    \"\"\"\n    Retrieves the details of a specific animal by its name.\n\n    Args:\n        name: The name of the animal.\n\n    Returns:\n        A dictionary with the animal's details (species, name, age, enclosure, trail)\n        or an empty dictionary if the animal is not found.\n    \"\"\"\n    logger.info(f\"\u003e\u003e\u003e 🛠️ Tool: 'get_animal_details' called for '{name}'\")\n    for animal in ZOO_ANIMALS:\n        if animal[\"name\"].lower() == name.lower():\n            return animal\n    return {}\n    \n@mcp.prompt()\ndef find(animal: str) -\u003e str:\n    \"\"\"\n    Find which exhibit and trail a specific animal might be located.\n    \"\"\"\n\n    return (\n        f\"Please find the exhibit and trail information for {animal} in the zoo. \"\n        f\"Respond with '[animal] can be found in the [exhibit] on the [trail].'\"\n        f\"Example: Penguins can be found in The Arctic Exhibit on the Polar Path.\"\n    )\n\nif __name__ == \"__main__\":\n    port = int(os.getenv(\"PORT\", 8080))\n    logger.info(f\"🚀 MCP server started on port {port}\")\n    asyncio.run(\n        mcp.run_async(\n            transport=\"http\",\n            host=\"0.0.0.0\",\n            port=port,\n        )\n    )"}}
I0925 19:52:35.681824    3374 conn_opt.go:55] jsonrpc2: --> request #0: client/registerCapability: {"registrations":[{"id":"workspace/didChangeConfiguration","method":"workspace/didChangeConfiguration"}]}
